,loss,accuracy,val_loss,val_accuracy
0,0.6940822601318359,0.5048254728317261,0.6920418739318848,0.5956899523735046
1,0.691767692565918,0.517130434513092,0.6859984993934631,0.6616275310516357
2,0.6875547170639038,0.5470483899116516,0.6710658669471741,0.6169186234474182
3,0.6751109957695007,0.6061605215072632,0.6384664177894592,0.7745255827903748
4,0.6464211344718933,0.6751648783683777,0.5906790494918823,0.8156963586807251
5,0.6044934988021851,0.7451342940330505,0.5427840352058411,0.8279189467430115
6,0.5542488694190979,0.7756956815719604,0.47795289754867554,0.8128015398979187
7,0.5135639905929565,0.7937912344932556,0.4224169850349426,0.8568671345710754
8,0.4771592915058136,0.8080263733863831,0.3893800675868988,0.8478610515594482
9,0.4385702311992645,0.8343252539634705,0.35099124908447266,0.8607268929481506
10,0.40065762400627136,0.849525511264801,0.3222412168979645,0.868124783039093
11,0.38546812534332275,0.8567637205123901,0.2988463044166565,0.881955623626709
12,0.3541986346244812,0.8694708347320557,0.27166032791137695,0.8948214650154114
13,0.3344985842704773,0.8754222393035889,0.25657936930656433,0.9022193551063538
14,0.3198434114456177,0.8838668465614319,0.24395400285720825,0.9047925472259521
15,0.30143213272094727,0.893678605556488,0.23578870296478271,0.906079113483429
16,0.31185248494148254,0.8895769715309143,0.2595517337322235,0.8986812233924866
17,0.28843438625335693,0.9011580944061279,0.2256634384393692,0.9166934490203857
18,0.2798789441585541,0.8985845446586609,0.2041248083114624,0.9231263995170593
19,0.2538531720638275,0.9109699130058289,0.1978694647550583,0.9250562787055969
20,0.25684818625450134,0.9103265404701233,0.19398686289787292,0.9273078441619873
21,0.24669897556304932,0.9131413698196411,0.18398980796337128,0.9311676025390625
22,0.24216321110725403,0.9161975383758545,0.19549821317195892,0.9247346520423889
23,0.23257558047771454,0.920540452003479,0.16971595585346222,0.9369572401046753
24,0.2289074957370758,0.9218272566795349,0.17101307213306427,0.9366355538368225
25,0.21655648946762085,0.926572322845459,0.1685100793838501,0.9369572401046753
26,0.20961341261863708,0.9294676184654236,0.17868193984031677,0.9295593500137329
27,0.20770564675331116,0.9280199408531189,0.15566492080688477,0.9430685043334961
28,0.20521995425224304,0.9288241863250732,0.15468226373195648,0.9430685043334961
